dynasty_id,dynasty_name_tr,dynasty_name_ar,dynasty_name_en,parent_tribe_or_clan,ethnic_origin,region_primary,regions_all,capital_city,date_start_hijri,date_end_hijri,date_start_ce,date_end_ce,sub_branch,allied_dynasties,rival_dynasties,predecessor,successor,end_cause,migration_conquest_notes,chapter,notes,ethnic_tags,government_type,religious_orientation,importance_level,capital_lat,capital_lon,duration_years_approx,century_start,century_end,geographic_zone,region_center_lat,region_center_lon,region_bbox_n,region_bbox_s,region_bbox_e,region_bbox_w,governance_detail,religious_detail,military_system,economic_base,cultural_tags,historical_period
11,Ağlebîler,al-Aghāliba,The Aghlabids,Horasanlı Arap komutan ailesi,Arap,İfrîkıye (Tunus),İfrîkıye; Cezayir; Sicilya; Malta; Güney İtalya kıyıları,Kayrevân (al-Qayrawan); al-Raqqāda (geç dönem),184,296,800,909,,Abbâsîler (teorik tâbiiyet),Fâtımîler; Berber Hâricîler,Abbâsî valileri,Fâtımîler,Fâtımî fethi; son Ağlebî Ziyādat Allāh III Mısır'a kaçtı (296/909),İbrahim I Hārūn al-Rashīd'den İfrîkıye eyaletini aldı (yıllık 40.000 dinar haraç); Sicilya fethini başlattılar (217/827'den itibaren); Malta'yı fethettiler,Chapter 3: North Africa,Sicilya fethiyle İslam kültürünün Avrupa'ya yayılmasında önemli; Akdeniz korsanlığı; Mâlikî ulemâ ile iç gerilim,Arap,Hanedan/Beylik,,Normal,35.68,10.10,109,8,10,Kuzey Afrika,36.8,3.2,37.5,33.0,10.0,-1.0,Vasal Devlet,Sünnî Hanefî,Karma Profesyonel,Tarım,Mimari,Erken Abbâsî
12,Kelbîler,al-Kalbiyyūn,The Kalbids,Kelb kabilesi,Arap (Kelb),Sicilya,Sicilya; Calabria akınları,Palermo,337,445,948,1053,,Fâtımîler (tâbiiyet),Bizans; İtalyan şehir devletleri; Normanlar,Fâtımî valileri,Norman fethi (452/1060'tan itibaren),İç parçalanma; Normanların Sicilya'yı fethi,Fâtımî halifesi al-Mansūr tarafından vali atandı; 359/970'te veraset zımnen tanındı,Chapter 3: North Africa,Fâtımîlere bağlı valiler; Calabria'ya sık akınlar; sikke basmadılar; cam ağırlıklar yerel para olarak kullanılmış olabilir,Arap,Hanedan/Beylik,,Normal,38.12,13.36,105,10,11,Kuzey Afrika,38.0,13.5,39.0,36.5,16.0,11.0,Vasal Devlet,Şiî İsmâilî (Fâtımî),Karma Profesyonel,Tarım,Mimari,Geç Abbâsî
13,Zîrîler ve Hammâdîler,al-Zīriyyūn wa al-Hammādiyyūn,The Zīrids and Hammādids,Sanhāja Berberleri,Berber (Sanhāja),Tunus ve Doğu Cezayir,İfrîkıye (Tunus); Doğu/Orta Cezayir; (Gırnata - İspanya kolu),Kayrevân; al-Mahdiyye (Zîrîler); Qal'at Banī Hammād; Bicâye/Bougie (Hammâdîler),361,547,972,1152,1. Fâtımî Mağrib valileri (Zîrî); 2. Kayrevân Zîrîleri; 3. Qal'at Banī Hammād Hammâdîleri,Fâtımîler (başlangıçta),Zanāta Berberleri; Hilâl/Süleym Arap göçebeleri; Normanlar; Muvahhidler,Fâtımî valileri,Muvahhid fethi (547/1152); Norman işgali (Tunus kıyıları),Muvahhid fethi; Hammâdîler Konstantin'de teslim oldu; son Zîrî al-Hasan Muvahhid valisi olarak atandı,Hilâl ve Süleym Bedevî göçebeleri Mısır'dan Mağrib'e saldı (Fâtımîler tarafından serbest bırakıldı); kırsal ekonomiyi tahrip etti; Zîrîler denize yöneldi — Berberi korsanları çağının başlangıcı,Chapter 3: North Africa,Zîrî al-Mu'izz 433/1041'de Abbâsîlere bağlılık bildirdi; Fâtımîler ceza olarak Hilâl kabilelerini gönderdi; İspanya kolu Gırnata Taifasını kurdu (No. 5),Berber,Hanedan/Beylik,,Normal,35.68,10.10,180,10,12,Kuzey Afrika,35.0,6.0,37.0,33.0,10.0,2.0,Vasal Devlet,Sünnî Mâlikî,Kabile Ordusu,Tarım,Mimari,Selçuklu Çağı
14,Murâbıtlar,al-Murābitūn,The Almoravids or al-Murābitūn,"Sanhāja Berberleri (Lamtūna, Gudāla)",Berber (Sanhāja - Sahra),Kuzeybatı Afrika ve İspanya,Fas; Batı/Orta Cezayir; Endülüs; Sahra; Moritanya,"Merakeş (Marrākush, 454/1062'de kuruldu)",454,541,1062,1147,,Abbâsîler (dinî bağlılık); Endülüs Teyfe beylikleri (kısa süre),Muvahhidler (Almohads); Hristiyan İspanya krallıkları,Yerel Berber hanedanlar,Muvahhidler (Almohads),Muvahhid fethi; son hükümdar Ishāq Merakeş'te öldürüldü (541/1147),Sahra'dan kuzeye doğru genişleme; Zallāqa zaferi (479/1086); neredeyse tüm Teyfe beyliklerini ortadan kaldırdı; İslam'ın Batı Afrika'ya yayılmasını hızlandırdı,Chapter 3: North Africa,Ribāt/murābitūn geleneği; peçeli savaşçılar (al-mutalatthimūn); Mâlikî muhafazakârlığı; al-Ghazālī'nin eserlerini yaktılar; Berber kökenli olmalarına rağmen Kahtānî Arap soyu iddia ettiler,Berber,Hanedan/Beylik,,Normal,31.63,-8.01,85,11,12,Kuzey Afrika,30.0,-5.0,37.0,15.0,3.0,-17.0,Kabile Konfederasyonu,Sünnî Mâlikî,Kabile Ordusu,Ticaret/Transit,UNESCO Miras;Mimari,Selçuklu Çağı
15,Muvahhidler,al-Muwahhidūn,The Almohads or al-Muwahhidūn,Masmūda Berberleri,Berber (Masmūda),Kuzey Afrika ve İspanya,Fas; Cezayir; Tunus; Trablusgarb; Endülüs,Merakeş (Marrākush); İşbiliye (Seville - İspanya'da),524,668,1130,1269,,,Murâbıtlar; Hristiyan İspanya; Benî Gâniye; Hafsîler (kopuş),Murâbıtlar,Hafsîler (İfrîkıye); Abdülvâdîler (Tilimsân); Merînîler (Fas); Nasrîler (Gırnata),Merînî fethi (Merakeş 668/1269); eyalet kopuşları; Las Navas de Tolosa yenilgisi (609/1212) sonrası çözülme,İbn Tūmart'ın Mehdî ilan edilmesi (515/1121); 'Abd al-Mu'min Tunus ve Trablusgarb'a kadar fethetti; Alarcos zaferi (591/1195); Las Navas de Tolosa felaketi (609/1212),Chapter 3: North Africa,İbn Tūmart kurucusu; Berber diliyle İslami eserler hazırladı; İbn Tufeyl ve İbn Rüşd (Averroes) saray filozofları; anıtsal mimari; Yahudi ve Hristiyan zulümleri; halife unvanı,Berber,Hilafet,,Normal,31.63,-8.01,139,12,13,Kuzey Afrika,33.0,-3.0,40.0,15.0,5.0,-17.0,Merkezi İmparatorluk,Sünnî (Zâhirî etkili),Kabile Ordusu,Ticaret/Transit,UNESCO Miras;Mimari,Selçuklu Çağı
16,Merînîler,al-Marīniyyūn,The Marīnids,Zanāta Berberleri (Banū Marīn),Berber (Zanāta),Fas (Mağrib),Fas; kuzey Mağrib; kısmen Tilimsân; geçici olarak Tunus,Fez (Fās),614,869,1217,1465,,Nasrîler (zaman zaman),Muvahhidler; Abdülvâdîler; Hafsîler; Hristiyan İspanya/Portekiz,Muvahhidler,Vattâsîler,Son sultan 'Abd al-Haqq II öldürüldü (869/1465); fiili iktidar zaten Vattâsîlerde,Sahra'nın kuzeybatı kenarından istila; Merakeş'i 668/1269'da aldılar; Ecija zaferi (674/1275); Rio Salado yenilgisi (741/1340),Chapter 3: North Africa,Dinî motivasyondan yoksun Berber hanedanı; merino yünü isim kaynağı olabilir; cami ve medrese inşaatı; Mâlikîlik ve Sûfîliğin güçlenmesi; Portekizliler Ceuta'yı aldı (818/1415),Berber,Hanedan/Beylik,,Normal,34.03,-5.0,248,13,15,Kuzey Afrika,33.0,-5.0,36.0,29.0,-1.0,-12.0,Kabile Konfederasyonu,Sünnî Mâlikî,Kabile Ordusu,Ticaret/Transit,UNESCO Miras;Mimari;Edebiyat,Moğol Sonrası
17,Abdülvâdîler (Zeyyânîler),Banū 'Abd al-Wād / al-Zayyāniyyūn,The 'Abd al-Wādids or Zayyānids or Ziyānids,Zanāta Berberleri (Wāsīn),Berber (Zanāta),Batı Cezayir,Batı Cezayir; Tilimsân bölgesi,Tilimsân (Tlemcen),633,962,1236,1555,,Kastilya; Nasrîler (Gırnata),Merînîler; Hafsîler; Osmanlılar (Cezayir); İspanyollar (Oran),Muvahhidler (vali olarak),Osmanlı fethi (Cezayir Paşası Salāh Re'īs),Cezayir'deki Osmanlı paşası Salāh Re'īs Tilimsân'ı fethetti (962/1555),"Yaghmurāsan Muvahhid çöküşünde Tilimsân merkezli beylik kurdu; Merînîler iki kez Tilimsân'ı işgal etti (737/1337, 753/1352)",Chapter 3: North Africa,Son hükümdarın oğlu Carlos adıyla Hristiyanlığa geçti; Tilimsân doğu-batı ticaret yolu üzerinde; Hunayn limanı Akdeniz ticareti,Berber,Hanedan/Beylik,,Normal,34.88,-1.31,319,13,16,Kuzey Afrika,35.0,-1.0,36.5,33.0,1.0,-3.0,Vasal Devlet,Sünnî Mâlikî,Kabile Ordusu,Ticaret/Transit,Mimari,Timurlu
18,Hafsîler,al-Hafsiyyūn,The Hafsids,Hintātī Berberleri (Muvahhid geleneği),Berber,Tunus ve Doğu Cezayir (İfrîkıye),Tunus; Doğu Cezayir; Kostantîne; Bicâye,Tunus,627,982,1229,1574,,Aragon; Anjevin Sicilya; İtalyan şehirleri (ticaret),Merînîler; Abdülvâdîler; Osmanlılar; İspanyollar,Muvahhidler (vali olarak),"Osmanlı fethi (Sinān Paşa, 982/1574)","Osmanlı kesin fethi; Don John of Austria Tunus'u aldı (981/1573), ardından Sinān Paşa geri aldı (982/1574); son Hafsî İstanbul'a götürüldü",Yahyā I 627/1229'da Muvahhid halifesinden koptu; halife ve Emîrü'l-Mü'minîn unvanları; Mekke şerifinin tanıması; Endülüs Müslüman mültecileri (İbn Haldûn'un ataları dahil),Chapter 3: North Africa,Ortaçağ İfrîkıye'nin en önemli hanedanı; medrese sistemini getirdi; Merînîler iki kez Tunus'u geçici işgal etti; korsan faaliyetleri; 350 yıl hüküm sürdü,Berber,Hanedan/Beylik,,Normal,36.81,10.17,345,13,16,Kuzey Afrika,36.0,7.0,37.5,33.0,11.0,3.0,Vasal Devlet,Sünnî Mâlikî,Karma Profesyonel,Ticaret/Transit,Mimari;Edebiyat,Timurlu
19,Vattâsîler,al-Wattāsiyyūn,The Wattāsids,Zanāta Berberleri (Banū Wattās - Merînî akrabası),Berber (Zanāta),Fas,Fas; Orta Mağrib,Fez (Fās),831,956,1428,1549,,,Sa'dî Şerifler; Osmanlılar (Tilimsân'dan),Merînîler (akraba; naip olarak),Sa'dî Şerifler,Sa'dîlerin Fez'i fethi (956/1549); Osmanlı yardımıyla kısa süreli geri dönüş başarısız,Merînî naibi olarak başladılar; 876/1472'de bağımsız hükümdar; Gırnata'nın düşüşü (897/1492) Fas'ta İslamî coşku dalgası yarattı,Chapter 3: North Africa,Leo Africanus Fez'i ziyaret etti; son Vattâsîlerden bazıları Hristiyanlığa geçti; İdrîsî Şürefâ geçici olarak Fez'de hüküm sürdü (869-75/1465-71),Berber,Hanedan/Beylik,,Normal,34.03,-5.0,121,15,16,Kuzey Afrika,34.0,-5.0,36.0,29.0,-1.0,-12.0,Vasal Devlet,Sünnî Mâlikî,Kabile Ordusu,Ticaret/Transit,,Timurlu
20,Sa'dî Şerifler,al-Sa'diyyūn,The Sa'did Sharifs,Hasanî Şerifler (Hz. Hasan soyundan),Arap (Şerif),Fas,Fas; Sûs; Nijer vadisi; Batı Afrika (Sudan),Merakeş (Marrākush); Fez (Fās),916,1069,1510,1659,,İngiltere (ticaret); İspanya/Navarra (Osmanlılara karşı),Vattâsîler; Osmanlılar (Cezayir); Portekiz,Vattâsîler,Alevî/Filâlî Şerifler,İç veraset kavgaları; Fas anarşisi; Alevî Şeriflerinin yükselişi,"Sûs'tan kuzeye doğru genişleme; Merakeş'i aldılar (930/1524), Fez'i aldılar (956/1549); Ahmad al-Mansūr 999/1590'da Nijer vadisine sefer düzenledi; Gao Askia'sını yendi",Chapter 3: North Africa,al-Mansūr al-Dhahabī 'Altın' lakabı (Sudan altını); İngiltere ile Barbary Company; Portekiz presidio'larını çıkarmaya çalıştı; cihad ve marabut geleneği; Mawlāy/Sīdī unvanları,Arap,Hanedan/Beylik,,Normal,31.63,-8.01,149,16,17,Kuzey Afrika,31.5,-6.0,36.0,15.0,-1.0,-17.0,Merkezi İmparatorluk,Sünnî Mâlikî,Karma Profesyonel,Ticaret/Transit,Mimari,Erken Modern
21,Alevî (Filâlî) Şerifler,al-'Alawiyyūn / al-Filāliyyūn,The 'Alawid or Filālī Sharīfs,Hasanî Şerifler,Arap (Şerif),Fas,Fas (tüm bölgeler),Fez; Meknes (İsma'il dönemi); Merakeş; Rabat,1041,,1631,devam ediyor,,,Dilā'ī maraboutlar; Fransa; İspanya,Sa'dî Şerifler,(devam ediyor),,Tafilalt (Wādī Zīz) kökenli; al-Rashīd sultan unvanını ilk kullanan; İsma'il siyah köle askerleri ('abīd al-Bukhārī) kurdu; Fransız Himayesi 1912; bağımsızlık 1956,Chapter 3: North Africa,Bugün hâlâ hüküm süren hanedan; Mawlay İsma'il Meknes'i başkent yaptı; Portekiz'in son kalesi Mazagan (1769); Muhammad V bağımsızlık hareketi; al-Hasan II kral,Arap,Hanedan/Beylik,,Normal,34.02,-6.84,,,,Kuzey Afrika,33.0,-6.5,36.0,27.0,-1.0,-17.0,Merkezi İmparatorluk,Sünnî Mâlikî,Karma Profesyonel,Ticaret/Transit,Mimari,Sömürge
22,Hüseynî Beyler,al-Husayniyyūn,The Husaynid Beys,Osmanlı garnizonu kökenli,Türk,Tunus,Tunus,Tunus,1117,1376,1705,1957,,Osmanlı İmparatorluğu (teorik tâbiiyet); Fransa (ticaret/himaye),,Osmanlı doğrudan yönetimi,Tunus Cumhuriyeti (Habib Burgiba),Fransız Himayesi (1881); ardından bağımsızlık (1956); cumhuriyet ilanı (1957); son Hüseynî sürgün edildi,al-Husayn b. 'Alī 1117/1705'te Beylerbeylik aldı; erkek primogenitur veraset; Ham(m)ūda Paşa Yeniçerileri bastırdı (1226/1811),Chapter 3: North Africa,250 yıl hüküm sürdüler; 1272/1856'da kendi adlarını sikkelere eklemeye başladılar; 1286/1869 mali kriz; son bey sadece 2 ay hüküm sürdü,Türk,Hanedan/Beylik,,Normal,36.81,10.17,252,18,20,Kuzey Afrika,34.5,6.0,37.0,32.0,10.0,-1.0,Vasal Devlet,Sünnî Hanefî,Karma Profesyonel,Tarım,Mimari,Sömürge
