battle_id,name_tr,name_en,date_ce,date_hijri,lat,lon,location_tr,dynasty_id_1,role_1,dynasty_id_2_or_enemy,role_2,battle_type,significance,result_summary,related_ruler_ids
39,Otrar Kuşatması,Siege of Otrar,1220,617,42.85,68.3,"Otrar, Mâverâünnehir",84,Mağlup,Moğol İmparatorluğu (Cengiz Han),,Kuşatma,Kritik,Moğol istilasının başlangıcı; Harezmşâhlar Devleti'nin çöküşü,
40,Otlukbeli Savaşı,Battle of Otlukbeli,1473,878,39.74,39.94,"Otlukbeli, Erzincan",130,Galip,146,Mağlup,Meydan Muharebesi,Yüksek,Osmanlı Akkoyunlu gücünü kırdı; Doğu Anadolu Osmanlı'ya,
41,Karnal Savaşı,Battle of Karnal,1739,1151,29.69,76.98,"Karnal, Hindistan",108,Galip,175,Mağlup,Meydan Muharebesi,Yüksek,Nâdir Şâh'ın Delhi'yi yağmalaması; Tavus Tahtı'nın alınması,
42,Gallipoli (Çanakkale) Savaşı,Gallipoli Campaign,1915,1333,40.33,26.22,Çanakkale Boğazı,130,Galip,"İtilaf Devletleri (İngiltere, Fransa, ANZAC)",,Kuşatma,Kritik,Osmanlı savunma zaferi; Türk millî bilincinin güçlenmesi,
43,Tondibi Savaşı,Battle of Tondibi,1591,999,16.76,-0.01,"Tondibi, Mali",20,Galip,59,Mağlup,Meydan Muharebesi,Yüksek,Sa'dî Fas ordusunun Songay'ı yıkması; Batı Afrika dengesi değişti,
44,Katvan Savaşı,Battle of Qatwan,1141,536,39.6,65.5,"Katvan Çölü, Semerkant yakını",91,Mağlup,Karahıtaylar (Yelü Dashi),,Meydan Muharebesi,Yüksek,Büyük Selçuklu Sultanlığı'nın doğu gücünün kırılması,
45,Preveze Deniz Savaşı,Battle of Preveza,1538,945,38.95,20.75,"Preveze, Yunanistan",130,Galip,Kutsal İttifak (Andrea Doria),,Deniz Savaşı,Yüksek,Barbaros Hayreddin Paşa; Akdeniz'de Osmanlı üstünlüğü,
46,Ridâniye öncesi — Merc-i Dâbık,N/A,1516,922,36.57,37.05,Halep kuzeyi,130,Galip,31,Mağlup,Meydan Muharebesi,Yüksek,Yavuz Sultan Selim Memlûkleri yendi,
47,Niğbolu Savaşı,Battle of Nicopolis,1396,798,43.7,24.89,"Niğbolu, Bulgaristan",130,Galip,Haçlı Koalisyonu (Sigismund),,Meydan Muharebesi,Yüksek,Son büyük Haçlı seferinin yenilgisi; Osmanlı Balkan hakimiyeti,
48,Kosova Savaşı (1389),Battle of Kosovo,1389,791,42.64,21.09,Kosova Ovası,130,Galip,Sırp Koalisyonu (Lazar),,Meydan Muharebesi,Kritik,Balkan hakimiyetinin başlangıcı; I. Murad şehit oldu,
49,Nehrevân Savaşı,Battle of Nahrawan,658,38,33.2,44.65,"Nehrevân, Irak",1,Galip (Ali),Hâricîler,,Meydan Muharebesi,Yüksek,Hz. Ali Hâricîleri yendi; ancak sonra Hâricî suikastıyla şehit oldu,1-004
50,Belgrad Kuşatması,Siege of Belgrade,1521,927,44.82,20.45,"Belgrad, Sırbistan",130,Galip,Macar Krallığı,,Kuşatma,Yüksek,Kanuni'nin ilk büyük fethi; Balkan yolunun açılması,
